alpha3,name,country_code,year,fb,pop,fb_share,refugee,disp,imm,disp_share
ROU,Romania,642,2005,145162,21417291,0.6777794633317538,2320,2108741,145162,0.09845974451203936
ROU,Romania,642,2010,177211,20471864,0.8656319717637826,1409,3370044,177211,0.16461832689001843
ROU,Romania,642,2015,281048,19925175,1.410517097089486,3030,3434373,281048,0.17236350496294262
ROU,Romania,642,2019,462552,19364557,2.38865262964704,5370,3650296,462552,0.1885039766207923
RUS,Russian Federation,643,1990,11524948,147531561,7.811852543199215,NA,12662893,11524948,0.0858317563656769
RUS,Russian Federation,643,1995,11928927,148227466,8.047717013525686,0,11621262,11928927,0.0784015426668631
RUS,Russian Federation,643,2000,11900297,146404903,8.12834594753975,26956,10721414,11900297,0.07323124963922827
RUS,Russian Federation,643,2005,11667588,143672116,8.120982919190805,1815,10358533,11667588,0.07209842305099759
RUS,Russian Federation,643,2010,11194710,143479274,7.802318542537369,6385,10130259,11194710,0.07060433690234591
RUS,Russian Federation,643,2015,11643276,144985057,8.030673119644323,316595,10272331,11643276,0.0708509636272378
RUS,Russian Federation,643,2019,11640559,145872256,7.979967760284725,128139,10575205,11640559,0.07249634227909658
SVK,Slovakia,703,1990,41295,5288454,0.7808520221599735,NA,133006,41295,0.02515026130509975
SVK,Slovakia,703,1995,69323,5375470,1.2896174660076234,2339,191650,69323,0.03565269641538321
SVK,Slovakia,703,2000,116376,5399211,2.1554260428051433,846,251584,116376,0.046596437886943114
SVK,Slovakia,703,2005,130491,5398963,2.4169641466333447,3075,272294,130491,0.050434500106779766
SVK,Slovakia,703,2010,146319,5404294,2.707458180476488,728,261356,146319,0.0483608034648004
SVK,Slovakia,703,2015,177624,5435611,3.2677835113660634,993,312575,177624,0.05750503485256763
SVK,Slovakia,703,2019,187984,5457013,3.4448149564606134,913,357799,187984,0.06556682199584278
UKR,Ukraine,804,1990,6892920,51463105,13.393906178027928,NA,5545760,6892920,0.10776186162883099
